Number2;Item;German;French;Spanish;Italian;Japanese;Korean;Chinese;Chinese2
1709;Cake-Lure Base;Köderteig;Appâte;Masa para Cebo;Polpetta base;よせだまのもと;유인환반죽;诱团原料;誘糰原料
1710;Poké Ball;Pokéball;Poké Ball;Poké Ball;Poké Ball;モンスターボール;몬스터볼;精灵球;精靈球
1711;Great Ball;Superball;Super Ball;Super Ball;Mega Ball;スーパーボール;슈퍼볼;超级球;超級球
1712;Ultra Ball;Hyperball;Hyper Ball;Ultra Ball;Ultra Ball;ハイパーボール;하이퍼볼;高级球;高級球
1713;Feather Ball;Federball;Plume Ball;Pluma Ball;Piuma Ball;フェザーボール;페더볼;飞羽球;飛羽球
1714;???;???;???;(?);???;？？？;???;？？？;？？？
1715;???;???;???;(?);???;？？？;???;？？？;？？？
1716;Scatter Bang;Knallkugel;Sachet Pétarade;Bola Ruidosa;Scoppiosfera;ばりばりだま;팡팡환;声弹;聲彈
1717;Smoke Bomb;Rauchkugel;Bombe Aveuglante;Bola Humareda;Palla orba;めかくしだま;눈속임환;烟弹;煙彈
1718;???;???;???;(?);???;？？？;???;？？？;？？？
1719;???;???;???;(?);???;？？？;???;？？？;？？？
1720;Pokéshi Doll;Pokémon-Kokeshi;Poupée Pokéshi;Pokémuñeca;Pokékokeshi;ポケモンこけし;포켓몬목각인형;宝可梦木娃娃;寶可夢木娃娃
1721;Volcano Balm;Vulkanruhegabe;Pacifi-Volcan;Calmasfera Volcán;Sferazen vulcano;かざんのシズメダマ;화산의진정환;火山镇宝;火山鎮寶
1722;Mountain Balm;Bergruhegabe;Pacifi-Montagne;Calmasfera Montaña;Sferazen monte;やまのシズメダマ;산의진정환;山之镇宝;山之鎮寶
1723;Snow Balm;Schneeruhegabe;Pacifi-Neige;Calmasfera Nieve;Sferazen neve;ゆきのシズメダマ;눈의진정환;雪之镇宝;雪之鎮寶
1724;Honey Cake;Honigköder;Appât Kibrille;Cebo Meloso;Polpetta miele;ミツよせだま;꿀유인환;蜜诱团;蜜誘糰
1725;Grain Cake;Reisköder;Appât Zélé;Cebo de Grano;Polpetta spighe;イナホよせだま;이삭유인환;谷诱团;穀誘糰
1726;Bean Cake;Bohnenköder;Appât Dodu;Cebo de Habas;Polpetta fagioli;マメよせだま;콩유인환;豆诱团;豆誘糰
1727;Mushroom Cake;Pilzköder;Appât Toumou;Cebo de Setas;Polpetta funghi;キノコよせだま;버섯유인환;菇诱团;菇誘糰
1728;Salt Cake;Mineralköder;Appât Rochedur;Cebo Mineral;Polpetta minerale;ミネラルよせだま;미네랄유인환;矿诱团;礦誘糰
1729;Swap Snack;Umkehrbratling;En-cas Contraire;Bocadito Inversión;Invertigratin;あべこべやき;뒤바뀜구이;颠倒烧;顛倒燒
1730;Choice Dumpling;Wahlreishappen;Papillote Choix;Aperitivo Elección;Involtoscelta;こだわりちまき;구애잎사귀떡;讲究粽;講究粽
1731;Twice-Spiced Radish;Doppelrettich;Bouchée Double;Encurtidoble;Doppiaceto;にばいづけ;두배절임;双倍腌菜;雙倍醃菜
1732;Survival Charm R;Schutztalisman 1;Enduramulette 1;Amuleto Protector 1;Amuleto tutela 1;あんぜんおまもり１;안전부적1;安全护符１;安全護符１
1733;Survival Charm B;Schutztalisman 2;Enduramulette 2;Amuleto Protector 2;Amuleto tutela 2;あんぜんおまもり２;안전부적2;安全护符２;安全護符２
1734;Survival Charm P;Schutztalisman 3;Enduramulette 3;Amuleto Protector 3;Amuleto tutela 3;あんぜんおまもり３;안전부적3;安全护符３;安全護符３
1735;Survival Charm T;Schutztalisman 4;Enduramulette 4;Amuleto Protector 4;Amuleto tutela 4;あんぜんおまもり４;안전부적4;安全护符４;安全護符４
1736;Survival Charm Y;Schutztalisman 5;Enduramulette 5;Amuleto Protector 5;Amuleto tutela 5;あんぜんおまもり５;안전부적5;安全护符５;安全護符５
1737;Torn Journal;Kaputtes Journal;Journal Déchiré;Diario Rasgado;Diario rovinato;やぶれたにっき;찢어진일기;破损日记;破損日記
1738;Warding Charm R;Statustalisman 1;Zenamulette 1;Amuleto Salud 1;Amuleto salute 1;けんこうおまもり１;건강부적1;健康护符１;健康護符１
1739;Warding Charm B;Statustalisman 2;Zenamulette 2;Amuleto Salud 2;Amuleto salute 2;けんこうおまもり２;건강부적2;健康护符２;健康護符２
1740;Warding Charm P;Statustalisman 3;Zenamulette 3;Amuleto Salud 3;Amuleto salute 3;けんこうおまもり３;건강부적3;健康护符３;健康護符３
1741;Warding Charm T;Statustalisman 4;Zenamulette 4;Amuleto Salud 4;Amuleto salute 4;けんこうおまもり４;건강부적4;健康护符４;健康護符４
1742;Warding Charm Y;Statustalisman 5;Zenamulette 5;Amuleto Salud 5;Amuleto salute 5;けんこうおまもり５;건강부적5;健康护符５;健康護符５
1743;Wall Fragment;Plattenfragment;Fragment de Mur;Trozo de Losa;Pezzo di lastra;せきばんのかけら;석판조각;石板碎块;石板碎塊
1744;Basculegion Food;Salmagnis-Kloß;Appâragruel;Cebo Basculegion;Esca Basculegion;イダイトウだんご;대쓰여너경단;幽尾玄鱼丸;幽尾玄魚丸
1745;Old Journal;Altes Journal;Vieux Journal;Diario Antiguo;Vecchio diario;ふるいにっき;낡은일기;古老日记;古老日記
1746;Wing Ball;Flügelball;Envol Ball;Ala Ball;Wing Ball;ウイングボール;윙볼;飞翼球;飛翼球
1747;Jet Ball;Düsenball;Propulse Ball;Aero Ball;Jet Ball;ジェットボール;제트볼;飞梭球;飛梭球
1748;Heavy Ball;Schwerball;Masse Ball;Peso Ball;Peso Ball;ヘビーボール;헤비볼;沉重球;沉重球
1749;Leaden Ball;Zentnerball;Mégamasse Ball;Kilo Ball;Megaton Ball;メガトンボール;메가톤볼;超重球;超重球
1750;Gigaton Ball;Tonnenball;Gigamasse Ball;Quintal Ball;Gigaton Ball;ギガトンボール;기가톤볼;巨重球;巨重球
1751;Wing Ball;Flügelball;Envol Ball;Ala Ball;Wing Ball;ウイングボール;윙볼;飞翼球;飛翼球
1752;Jet Ball;Düsenball;Propulse Ball;Aero Ball;Jet Ball;ジェットボール;제트볼;飞梭球;飛梭球
1753;Heavy Ball;Schwerball;Masse Ball;Peso Ball;Peso Ball;ヘビーボール;헤비볼;沉重球;沉重球
1754;Hopo Berry;Pfohbeere;Baie Bouhlon;Baya Lupu;Baccaluppo;ポフのみ;포흐열매;花啤果;花啤果
1755;Superb Remedy;Hyperarznei;Hyper Remède;Hiperremedio;Preparato ottimo;すごいカンポーやく;고급한방약;厉害中药;厲害中藥
1756;Aux Power;Offensivvitamine;Offensive Extra;Gragea Ofensiva;Offensiva extra;せめのがんやく;공격의환약;进攻药丸;進攻藥丸
1757;Aux Guard;Defensivvitamine;Défense Extra;Gragea Defensiva;Difensiva extra;まもりのがんやく;방어의환약;防守药丸;防守藥丸
1758;Aux Evasion;Ausweichvitamine;Esquive Extra;Gragea Evasiva;Elusione X;ヨクアタラーヌ;잘-안맞기;闪避强化;閃避強化
1759;Grit Dust;Leistungssand;Sable Effort;Polvo Esfuerzo;Sabbia impegno;ガンバリのすな;노력의모래;奋斗沙;奮鬥沙
1760;Grit Gravel;Leistungskies;Cailloux Effort;Grava Esfuerzo;Ghiaia impegno;ガンバリのじゃり;노력의자갈;奋斗砾;奮鬥礫
1761;Grit Pebble;Leistungsstein;Pierre Effort;Piedra Esfuerzo;Pietra impegno;ガンバリのいし;노력의돌;奋斗石;奮鬥石
1762;Grit Rock;Leistungsfels;Rocher Effort;Roca Esfuerzo;Roccia impegno;ガンバリのいわ;노력의바위;奋斗岩;奮鬥岩
1763;Secret Medicine;Geheimmedizin;Remède Secret;Medicina Secreta;Rimedio segreto;ひでんのくすり;비전신약;秘传之药;秘傳之藥
1764;Tempting Charm R;Wahrungstalisman 1;Remplamulette 1;Amuleto Sustituto 1;Amuleto Sostituto 1;みがわりおまもり１;대타부적1;替身护符１;替身護符１
1765;Lost Satchel;Verlorene Items;Objet Perdu;Objeto perdido;Oggetto smarrito;だれかのおとしもの;누군가의분실물;他人的遗失物;某人的遺失物
1766;Lost Satchel;Verlorene Items;Objet Perdu;Objeto perdido;Oggetto smarrito;だれかのおとしもの;누군가의분실물;他人的遗失物;某人的遺失物
1767;Lost Satchel;Verlorene Items;Objet Perdu;Objeto perdido;Oggetto smarrito;だれかのおとしもの;누군가의분실물;他人的遗失物;某人的遺失物
1768;Lost Satchel;Verlorene Items;Objet Perdu;Objeto perdido;Oggetto smarrito;だれかのおとしもの;누군가의분실물;他人的遗失物;某人的遺失物
1769;Lost Satchel;Verlorene Items;Objet Perdu;Objeto perdido;Oggetto smarrito;だれかのおとしもの;누군가의분실물;他人的遗失物;某人的遺失物
1770;???;???;???;(?);???;？？？;???;？？？;？？？
1771;Origin Ball;Urball;Origine Ball;Origen Ball;Origin Ball;オリジンボール;오리진볼;起源球;起源球
1772;???;???;???;(?);???;？？？;???;？？？;？？？
1773;???;???;???;(?);???;？？？;???;？？？;？？？
1774;???;???;???;(?);???;？？？;???;？？？;？？？
1775;???;???;???;(?);???;？？？;???;？？？;？？？
1776;Origin Ore;Urerz;Minerai Origine;Mena Origen;Rocciorigine;オリジンこうせき;오리진광석;起源矿石;起源礦石
1777;Adamant Crystal;Adamantkristall;Globe Adamant;Gran Diamansfera;Adamasferoide;だいこんごうだま;큰금강옥;大金刚宝玉;大金剛寶玉
1778;Lustrous Globe;Weißkristall;Globe Perlé;Gran Lustresfera;Splendisferoide;だいしらたま;큰백옥;大白宝玉;大白寶玉
1779;Griseous Core;Platinumkristall;Globe Platiné;Gran Griseosfera;Grigiosferoide;だいはっきんだま;큰백금옥;大白金宝玉;大白金寶玉
1780;Blank Plate;Neutraltafel;Plaque Renouveau;Tabla Neutra;Lastraripristino;まっさらプレート;순백플레이트;净空石板;淨空石板
1781;???;???;???;(?);???;？？？;???;？？？;？？？
1782;Crafting Kit;Handwerkskiste;Boîte à Outils;Kit de Artesanía;Kit faidaté;クラフトキット;공작키트;工艺套组;工藝套組
1783;Leaden Ball;Zentnerball;Mégamasse Ball;Kilo Ball;Megaton Ball;メガトンボール;메가톤볼;超重球;超重球
1784;Gigaton Ball;Tonnenball;Gigamasse Ball;Quintal Ball;Gigaton Ball;ギガトンボール;기가톤볼;巨重球;巨重球
1785;Strange Ball;Rätselball;Étrange Ball;Extraña Ball;Strange Ball;ストレンジボール;스트레인지볼;奇异球;奇異球
1786;Pokédex;Pokédex;Pokédex;Pokédex;Pokédex;ポケモンずかん;포켓몬 도감;宝可梦图鉴;寶可夢圖鑑
1787;Old Verse 1;Altes Gedicht 1;Vieux Poème (1);Poema Antiguo 1;Antica poesia 1;ふるいポエム１;오래된 시1;古老诗文１;古老詩文１
1788;Old Verse 2;Altes Gedicht 2;Vieux Poème (2);Poema Antiguo 2;Antica poesia 2;ふるいポエム２;오래된 시2;古老诗文２;古老詩文２
1789;Old Verse 3;Altes Gedicht 3;Vieux Poème (3);Poema Antiguo 3;Antica poesia 3;ふるいポエム３;오래된 시3;古老诗文３;古老詩文３
1790;Old Verse 4;Altes Gedicht 4;Vieux Poème (4);Poema Antiguo 4;Antica poesia 4;ふるいポエム４;오래된 시4;古老诗文４;古老詩文４
1791;???;???;???;(?);???;？？？;???;？？？;？？？
1792;Old Verse 5;Altes Gedicht 5;Vieux Poème (5);Poema Antiguo 5;Antica poesia 5;ふるいポエム５;오래된 시5;古老诗文５;古老詩文５
1793;Old Verse 6;Altes Gedicht 6;Vieux Poème (6);Poema Antiguo 6;Antica poesia 6;ふるいポエム６;오래된 시6;古老诗文６;古老詩文６
1794;Old Verse 7;Altes Gedicht 7;Vieux Poème (7);Poema Antiguo 7;Antica poesia 7;ふるいポエム７;오래된 시7;古老诗文７;古老詩文７
1795;Old Verse 8;Altes Gedicht 8;Vieux Poème (8);Poema Antiguo 8;Antica poesia 8;ふるいポエム８;오래된 시8;古老诗文８;古老詩文８
1796;Old Verse 9;Altes Gedicht 9;Vieux Poème (9);Poema Antiguo 9;Antica poesia 9;ふるいポエム９;오래된 시9;古老诗文９;古老詩文９
1797;Old Verse 10;Altes Gedicht 10;Vieux Poème (10);Poema Antiguo 10;Antica poesia 10;ふるいポエム１０;오래된 시10;古老诗文１０;古老詩文１０
1798;Old Verse 11;Altes Gedicht 11;Vieux Poème (11);Poema Antiguo 11;Antica poesia 11;ふるいポエム１１;오래된 시11;古老诗文１１;古老詩文１１
1799;Old Verse 12;Altes Gedicht 12;Vieux Poème (12);Poema Antiguo 12;Antica poesia 12;ふるいポエム１２;오래된 시12;古老诗文１２;古老詩文１２
1800;Old Verse 13;Altes Gedicht 13;Vieux Poème (13);Poema Antiguo 13;Antica poesia 13;ふるいポエム１３;오래된 시13;古老诗文１３;古老詩文１３
1801;Old Verse 14;Altes Gedicht 14;Vieux Poème (14);Poema Antiguo 14;Antica poesia 14;ふるいポエム１４;오래된 시14;古老诗文１４;古老詩文１４
1802;Old Verse 15;Altes Gedicht 15;Vieux Poème (15);Poema Antiguo 15;Antica poesia 15;ふるいポエム１５;오래된 시15;古老诗文１５;古老詩文１５
1803;Old Verse 16;Altes Gedicht 16;Vieux Poème (16);Poema Antiguo 16;Antica poesia 16;ふるいポエム１６;오래된 시16;古老诗文１６;古老詩文１６
1804;Old Verse 17;Altes Gedicht 17;Vieux Poème (17);Poema Antiguo 17;Antica poesia 17;ふるいポエム１７;오래된 시17;古老诗文１７;古老詩文１７
1805;Old Verse 18;Altes Gedicht 18;Vieux Poème (18);Poema Antiguo 18;Antica poesia 18;ふるいポエム１８;오래된 시18;古老诗文１８;古老詩文１８
1806;Old Verse 19;Altes Gedicht 19;Vieux Poème (19);Poema Antiguo 19;Antica poesia 19;ふるいポエム１９;오래된 시19;古老诗文１９;古老詩文１９
1807;Old Verse 20;Altes Gedicht 20;Vieux Poème (20);Poema Antiguo 20;Antica poesia 20;ふるいポエム２０;오래된 시20;古老诗文２０;古老詩文２０
1808;Mysterious Shard S;Enigmafragment S;Éclat Étrange S;Esquirla Extraña S;Frammento insolito S;なぞのかけらＳ;수수께끼의조각S;谜之碎片Ｓ;謎之碎片Ｓ
1809;Mysterious Shard L;Enigmafragment L;Éclat Étrange L;Esquirla Extraña L;Frammento insolito L;なぞのかけらＬ;수수께끼의조각L;谜之碎片Ｌ;謎之碎片Ｌ
1810;Digger Drill;Einwegbohrer;Foreuse;Taladro;Trivella;あなほりドリル;구멍파기드릴;挖洞钻;挖洞鑽
1811;Kanto Slate;Kanto-Platte;Tablette Kanto;Losa Kanto;Piastra di Kanto;カントーのせきばん;관동의석판;关都石板;關都石板
1812;Johto Slate;Johto-Platte;Tablette Johto;Losa Johto;Piastra di Johto;ジョウトのせきばん;성도의석판;城都石板;城都石板
1813;Soul Slate;Gefühlsplatte;Tablette Cœur;Losa Empatía;Piastra del cuore;こころのせきばん;마음의석판;心之石板;心之石板
1814;Rainbow Slate;Regenbogenplatte;Tablette Arc-en-ciel;Losa Arcoíris;Piastra arcobaleno;にじのせきばん;무지개의석판;彩虹石板;彩虹石板
1815;Squall Slate;Sturmplatte;Tablette Tempête;Losa Tormenta;Piastra dei venti;あらしのせきばん;폭풍의석판;暴风石板;暴風石板
1816;Oceanic Slate;Meeresplatte;Tablette Océans;Losa Mar;Piastra dei mari;たいかいのせきばん;대해의석판;大海石板;大海石板
1817;Tectonic Slate;Kontinentplatte;Tablette Continents;Losa Tierra;Piastra delle terre;たいりくのせきばん;대륙의석판;大陆石板;大陸石板
1818;Stratospheric Slate;Himmelsplatte;Tablette Cieux;Losa Cielo;Piastra dei cieli;てんくうのせきばん;천공의석판;天空石板;天空石板
1819;Genome Slate;Genplatte;Tablette Génétique;Losa Genética;Piastra del gene;いでんしのせきばん;유전자의석판;基因石板;基因石板
1820;Discovery Slate;Weisungsplatte;Tablette Guides;Losa Inicio;Piastra degli esordi;みちびきのせきばん;인도의석판;引导石板;引導石板
1821;Distortion Slate;Zerrplatte;Tablette Distorsion;Losa Distorsión;Piastra distorta;やぶれたせきばん;깨어진석판;毁坏石板;毀壞石板
1822;DS Sounds;DS-Player;Lecteur DS;Reproductor DS;Lettore DS;ＤＳプレイヤー;DS플레이어;ＤＳ播放器;ＤＳ播放器
1823;None;;;;;;;;
1824;None;;;;;;;;
1825;None;;;;;;;;
1826;None;;;;;;;;
1827;None;;;;;;;;
1828;Legend Plate;Legendentafel;Plaque Légende;Tabla Legendaria;Lastraleggenda;レジェンドプレート;레전드플레이트;传说石板;傳說石板
1829;Rotom Phone;;;;;;;;
1830;Sandwich;;;;;;;;
1831;Koraidon's Poké Ball;;;;;;;;
1832;Miraidon's Poké Ball;;;;;;;;
1833;Tera Orb;;;;;;;;
1834;Scarlet Book;;;;;;;;
1835;Violet Book;;;;;;;;
1836;Kofu's Wallet;;;;;;;;
1837;None;;;;;;;;
1838;None;;;;;;;;
1839;None;;;;;;;;
1840;None;;;;;;;;
1841;None;;;;;;;;
1842;Tiny Bamboo Shoot;Minibambusspross;Petit Bambou;Bambú Pequeño;Minibambù;ちいさなタケノコ;작은죽순;小竹笋;小竹筍
1843;Big Bamboo Shoot;Riesenbambusspross;Gros Bambou;Bambú Grande;Grande bambù;おおきなタケノコ;큰죽순;大竹笋;大竹筍
1844;None;;;;;;;;
1845;None;;;;;;;;
1846;None;;;;;;;;
1847;None;;;;;;;;
1848;None;;;;;;;;
1849;None;;;;;;;;
1850;None;;;;;;;;
1851;None;;;;;;;;
1852;None;;;;;;;;
1853;None;;;;;;;;
1854;None;;;;;;;;
1855;None;;;;;;;;
1856;None;;;;;;;;
1857;Scroll of Darkness;;;;;;;;
1858;Scroll of Waters;;;;;;;;
1859;None;;;;;;;;
1860;None;;;;;;;;
1861;Malicious Armor;Fluchrüstung;Armure de la Rancune;Armadura Maldita;Armatura infausta;ノロイノヨロイ;저주받은갑옷;咒术之铠;詛咒之鎧
1862;Normal Tera Shard;Tera-Stück (Normal);Téra-Éclat Normal;Teralito Normal;Teralite Normale;テラピースノーマル;테라피스 노말;一般太晶碎块;一般太晶碎塊
1863;Fire Tera Shard;Tera-Stück (Feuer);Téra-Éclat Feu;Teralito Fuego;Teralite Fuoco;テラピースほのお;테라피스 불꽃;火太晶碎块;火太晶碎塊
1864;Water Tera Shard;Tera-Stück (Wasser);Téra-Éclat Eau;Teralito Agua;Teralite Acqua;テラピースみず;테라피스 물;水太晶碎块;水太晶碎塊
1865;Electric Tera Shard;Tera-Stück (Elektro);Téra-Éclat Électrik;Teralito Eléctrico;Teralite Elettro;テラピースでんき;테라피스 전기;电太晶碎块;電太晶碎塊
1866;Grass Tera Shard;Tera-Stück (Pflanze);Téra-Éclat Plante;Teralito Planta;Teralite Erba;テラピースくさ;테라피스 풀;草太晶碎块;草太晶碎塊
1867;Ice Tera Shard;Tera-Stück (Eis);Téra-Éclat Glace;Teralito Hielo;Teralite Ghiaccio;テラピースこおり;테라피스 얼음;冰太晶碎块;冰太晶碎塊
1868;Fighting Tera Shard;Tera-Stück (Kampf);Téra-Éclat Combat;Teralito Lucha;Teralite Lotta;テラピースかくとう;테라피스 격투;格斗太晶碎块;格鬥太晶碎塊
1869;Poison Tera Shard;Tera-Stück (Gift);Téra-Éclat Poison;Teralito Veneno;Teralite Veleno;テラピースどく;테라피스 독;毒太晶碎块;毒太晶碎塊
1870;Ground Tera Shard;Tera-Stück (Boden);Téra-Éclat Sol;Teralito Tierra;Teralite Terra;テラピースじめん;테라피스 땅;地面太晶碎块;地面太晶碎塊
1871;Flying Tera Shard;Tera-Stück (Flug);Téra-Éclat Vol;Teralito Volador;Teralite Volante;テラピースひこう;테라피스 비행;飞行太晶碎块;飛行太晶碎塊
1872;Psychic Tera Shard;Tera-Stück (Psycho);Téra-Éclat Psy;Teralito Psíquico;Teralite Psico;テラピースエスパー;테라피스 에스퍼;超能力太晶碎块;超能力太晶碎塊
1873;Bug Tera Shard;Tera-Stück (Käfer);Téra-Éclat Insecte;Teralito Bicho;Teralite Coleottero;テラピースむし;테라피스 벌레;虫太晶碎块;蟲太晶碎塊
1874;Rock Tera Shard;Tera-Stück (Gestein);Téra-Éclat Roche;Teralito Roca;Teralite Roccia;テラピースいわ;테라피스 바위;岩石太晶碎块;岩石太晶碎塊
1875;Ghost Tera Shard;Tera-Stück (Geist);Téra-Éclat Spectre;Teralito Fantasma;Teralite Spettro;テラピースゴースト;테라피스 고스트;幽灵太晶碎块;幽靈太晶碎塊
1876;Dragon Tera Shard;Tera-Stück (Drache);Téra-Éclat Dragon;Teralito Dragón;Teralite Drago;テラピースドラゴン;테라피스 드래곤;龙太晶碎块;龍太晶碎塊
1877;Dark Tera Shard;Tera-Stück (Unlicht);Téra-Éclat Ténèbres;Teralito Siniestro;Teralite Buio;テラピースあく;테라피스 악;恶太晶碎块;惡太晶碎塊
1878;Steel Tera Shard;Tera-Stück (Stahl);Téra-Éclat Acier;Teralito Acero;Teralite Acciaio;テラピースはがね;테라피스 강철;钢太晶碎块;鋼太晶碎塊
1879;Fairy Tera Shard;Tera-Stück (Fee);Téra-Éclat Fée;Teralito Hada;Teralite Folletto;テラピースフェアリー;테라피스 페어리;妖精太晶碎块;妖精太晶碎塊
1880;Booster Energy;Energiekapsel;Énergie Booster;Energía Potenciadora;Capsula energetica;ブーストエナジー;부스트에너지;驱劲能量;驅勁能量
1881;Ability Shield;Fähigkeitenschild;Garde-Talent;Escudo Habilidad;Scudo abilità;とくせいガード;특성가드;特性护具;特性護具
1882;Clear Amulet;Neutralschmuck;Talisman Sain;Amuleto Puro;Ciondolochiaro;クリアチャーム;클리어참;清净坠饰;清淨墜飾
1883;Mirror Herb;Kopierkraut;Feuille Copieuse;Hierba Copia;Foglia carbone;ものまねハーブ;흉내허브;模仿香草;模仿香草
1884;Punching Glove;Boxhandschuh;Gant de Boxe;Guante de Boxeo;Guantone;パンチグローブ;펀치글러브;拳击手套;拳擊手套
1885;Covert Cloak;Tarnumhang;Cape Obscure;Capa Furtiva;Anonimanto;おんみつマント;은밀망토;密探斗篷;密探斗篷
1886;Loaded Dice;Gezinkter Würfel;Dé Pipé;Dado Trucado;Dado truccato;いかさまダイス;속임수주사위;机变骰子;老千骰子
1887;None;;;;;;;;
1888;Baguette;;;;;;;;
1889;Mayonnaise;;;;;;;;
1890;Ketchup;;;;;;;;
1891;Mustard;;;;;;;;
1892;Butter;;;;;;;;
1893;Peanut Butter;;;;;;;;
1894;Chili Sauce;;;;;;;;
1895;Salt;;;;;;;;
1896;Pepper;;;;;;;;
1897;Yogurt;;;;;;;;
1898;Whipped Cream;;;;;;;;
1899;Cream Cheese;;;;;;;;
1900;Jam;;;;;;;;
1901;Marmalade;;;;;;;;
1902;Olive Oil;;;;;;;;
1903;Vinegar;;;;;;;;
1904;Sweet Herba Mystica;;;;;;;;
1905;Salty Herba Mystica;;;;;;;;
1906;Sour Herba Mystica;;;;;;;;
1907;Bitter Herba Mystica;;;;;;;;
1908;Spicy Herba Mystica;;;;;;;;
1909;Lettuce;;;;;;;;
1910;Tomato;;;;;;;;
1911;Cherry Tomatoes;;;;;;;;
1912;Cucumber;;;;;;;;
1913;Pickle;;;;;;;;
1914;Onion;;;;;;;;
1915;Red Onion;;;;;;;;
1916;Green Bell Pepper;;;;;;;;
1917;Red Bell Pepper;;;;;;;;
1918;Yellow Bell Pepper;;;;;;;;
1919;Avocado;;;;;;;;
1920;Bacon;;;;;;;;
1921;Ham;;;;;;;;
1922;Prosciutto;;;;;;;;
1923;Chorizo;;;;;;;;
1924;Herbed Sausage;;;;;;;;
1925;Hamburger;;;;;;;;
1926;Klawf Stick;;;;;;;;
1927;Smoked Fillet;;;;;;;;
1928;Fried Fillet;;;;;;;;
1929;Egg;;;;;;;;
1930;Potato Tortilla;;;;;;;;
1931;Tofu;;;;;;;;
1932;Rice;;;;;;;;
1933;Noodles;;;;;;;;
1934;Potato Salad;;;;;;;;
1935;Cheese;;;;;;;;
1936;Banana;;;;;;;;
1937;Strawberry;;;;;;;;
1938;Apple;;;;;;;;
1939;Kiwi;;;;;;;;
1940;Pineapple;;;;;;;;
1941;Jalapeño;;;;;;;;
1942;Horseradish;;;;;;;;
1943;Curry Powder;;;;;;;;
1944;Wasabi;;;;;;;;
1945;Watercress;;;;;;;;
1946;Basil;;;;;;;;
1947;None;;;;;;;;
1948;None;;;;;;;;
1949;None;;;;;;;;
1950;None;;;;;;;;
1951;None;;;;;;;;
1952;None;;;;;;;;
1953;None;;;;;;;;
1954;None;;;;;;;;
1955;None;;;;;;;;
1956;Venonat Fang;;;;;;;;
1957;Diglett Dirt;;;;;;;;
1958;Meowth Fur;;;;;;;;
1959;Psyduck Down;;;;;;;;
1960;Mankey Fur;;;;;;;;
1961;Growlithe Fur;;;;;;;;
1962;Slowpoke Claw;;;;;;;;
1963;Magnemite Screw;;;;;;;;
1964;Grimer Toxin;;;;;;;;
1965;Shellder Pearl;;;;;;;;
1966;Gastly Gas;;;;;;;;
1967;Drowzee Fur;;;;;;;;
1968;Voltorb Sparks;;;;;;;;
1969;Scyther Claw;;;;;;;;
1970;Tauros Hair;;;;;;;;
1971;Magikarp Scales;;;;;;;;
1972;Ditto Goo;;;;;;;;
1973;Eevee Fur;;;;;;;;
1974;Dratini Scales;;;;;;;;
1975;Pichu Fur;;;;;;;;
1976;Igglybuff Fluff;;;;;;;;
1977;Mareep Wool;;;;;;;;
1978;Hoppip Leaf;;;;;;;;
1979;Sunkern Leaf;;;;;;;;
1980;Murkrow Bauble;;;;;;;;
1981;Misdreavus Tears;;;;;;;;
1982;Girafarig Fur;;;;;;;;
1983;Pineco Husk;;;;;;;;
1984;Dunsparce Scales;;;;;;;;
1985;Qwilfish Spines;;;;;;;;
1986;Heracross Claw;;;;;;;;
1987;Sneasel Claw;;;;;;;;
1988;Teddiursa Claw;;;;;;;;
1989;Delibird Parcel;;;;;;;;
1990;Houndour Fang;;;;;;;;
1991;Phanpy Nail;;;;;;;;
1992;Stantler Hair;;;;;;;;
1993;Larvitar Claw;;;;;;;;
1994;Wingull Feather;;;;;;;;
1995;Ralts Dust;;;;;;;;
1996;Surskit Syrup;;;;;;;;
1997;Shroomish Spores;;;;;;;;
1998;Slakoth Fur;;;;;;;;
1999;Makuhita Sweat;;;;;;;;
2000;Azurill Fur;;;;;;;;
2001;Sableye Gem;;;;;;;;
2002;Meditite Sweat;;;;;;;;
2003;Gulpin Mucus;;;;;;;;
2004;Numel Lava;;;;;;;;
2005;Torkoal Coal;;;;;;;;
2006;Spoink Pearl;;;;;;;;
2007;Cacnea Needle;;;;;;;;
2008;Swablu Fluff;;;;;;;;
2009;Zangoose Claw;;;;;;;;
2010;Seviper Fang;;;;;;;;
2011;Barboach Slime;;;;;;;;
2012;Shuppet Scrap;;;;;;;;
2013;Tropius Leaf;;;;;;;;
2014;Snorunt Fur;;;;;;;;
2015;Luvdisc Scales;;;;;;;;
2016;Bagon Scales;;;;;;;;
2017;Starly Feather;;;;;;;;
2018;Kricketot Shell;;;;;;;;
2019;Shinx Fang;;;;;;;;
2020;Combee Honey;;;;;;;;
2021;Pachirisu Fur;;;;;;;;
2022;Buizel Fur;;;;;;;;
2023;Shellos Mucus;;;;;;;;
2024;Drifloon Gas;;;;;;;;
2025;Stunky Fur;;;;;;;;
2026;Bronzor Fragment;;;;;;;;
2027;Bonsly Tears;;;;;;;;
2028;Happiny Dust;;;;;;;;
2029;Spiritomb Fragment;;;;;;;;
2030;Gible Scales;;;;;;;;
2031;Riolu Fur;;;;;;;;
2032;Hippopotas Sand;;;;;;;;
2033;Croagunk Poison;;;;;;;;
2034;Finneon Scales;;;;;;;;
2035;Snover Berries;;;;;;;;
2036;Rotom Sparks;;;;;;;;
2037;Petilil Leaf;;;;;;;;
2038;Basculin Fang;;;;;;;;
2039;Sandile Claw;;;;;;;;
